---
timestamp: 1765249484678
0.000000 -0.250433 0.024102
0.000000 -0.249357 0.023427
0.000000 -0.248006 0.022960
0.000000 -0.246992 0.022265
0.000000 -0.245788 0.021721
0.000000 -0.244488 0.021262
0.000000 -0.243136 0.020861
0.000000 -0.241850 0.020426
0.000000 -0.240696 0.019903
0.000000 -0.238957 0.019866
0.000000 -0.237707 0.019457
0.000000 -0.236043 0.019410
0.000000 -0.234725 0.019097
0.000000 -0.232937 0.019211
0.000000 -0.231266 0.019255
0.000000 -0.230168 0.018812
0.000000 -0.228350 0.019042
0.000000 -0.227031 0.018842
0.000000 -0.224869 0.019462
0.000000 -0.223443 0.019420
0.000000 -0.222024 0.019395
0.000000 -0.220728 0.019272
0.000000 -0.219343 0.019260
0.000000 -0.217385 0.019865
0.000000 -0.216293 0.019604
0.000000 -0.215020 0.019551
0.000000 -0.214315 0.018899
0.000000 -0.213270 0.018626
0.000000 -0.211563 0.019113
0.000000 -0.210329 0.019095
0.000000 -0.209166 0.019017
0.000000 -0.207878 0.019106
0.000000 -0.206279 0.019597
0.000000 -0.204977 0.019760
0.000000 -0.203994 0.019548
0.000000 -0.203290 0.018992
0.000000 -0.202398 0.018681
0.000000 -0.201184 0.018805
0.000000 -0.200196 0.018650
0.000000 -0.199366 0.018289
0.000000 -0.198264 0.018317
0.000000 -0.197358 0.018085
0.000000 -0.196357 0.017999
0.000000 -0.195080 0.018340
0.000000 -0.194366 0.017862
0.000000 -0.193102 0.018230
0.000000 -0.191939 0.018472
0.000000 -0.191225 0.018022
0.000000 -0.190160 0.018147
0.000000 -0.189272 0.017998
0.000000 -0.188554 0.017571
0.000000 -0.187750 0.017295
0.000000 -0.186944 0.017026
0.000000 -0.186218 0.016620
0.000000 -0.185251 0.016659
0.000000 -0.184287 0.016709
0.000000 -0.183558 0.016325
0.000000 -0.182524 0.016542
0.000000 -0.181496 0.016771
0.000000 -0.180769 0.016412
0.000000 -0.179779 0.016601
0.000000 -0.178881 0.016620
0.000000 -0.178152 0.016284
0.000000 -0.177420 0.015954
0.000000 -0.176685 0.015630
0.000000 -0.175947 0.015314
0.000000 -0.175207 0.015003
---
timestamp: 1765249484701
0.000000 -0.250433 0.024102
0.000000 -0.249357 0.023427
0.000000 -0.248006 0.022960
0.000000 -0.246992 0.022265
0.000000 -0.245788 0.021721
0.000000 -0.244488 0.021262
0.000000 -0.243136 0.020861
0.000000 -0.241850 0.020426
0.000000 -0.240609 0.019972
0.000000 -0.238870 0.019936
0.000000 -0.237610 0.019536
0.000000 -0.235947 0.019491
0.000000 -0.234616 0.019190
0.000000 -0.232829 0.019305
0.000000 -0.231159 0.019350
0.000000 -0.230044 0.018924
0.000000 -0.228350 0.019042
0.000000 -0.227177 0.018706
0.000000 -0.225304 0.019049
0.000000 -0.223803 0.019072
0.000000 -0.222452 0.018975
0.000000 -0.221082 0.018918
0.000000 -0.219763 0.018832
0.000000 -0.217802 0.019434
0.000000 -0.216637 0.019242
0.000000 -0.215293 0.019259
0.000000 -0.214090 0.019145
0.000000 -0.212801 0.019146
0.000000 -0.211298 0.019412
0.000000 -0.210198 0.019246
0.000000 -0.209101 0.019093
0.000000 -0.207921 0.019055
0.000000 -0.206470 0.019365
0.000000 -0.205323 0.019332
0.000000 -0.204326 0.019130
0.000000 -0.203290 0.018992
0.000000 -0.202398 0.018681
0.000000 -0.201184 0.018805
0.000000 -0.200196 0.018650
0.000000 -0.199366 0.018289
0.000000 -0.198264 0.018317
0.000000 -0.197358 0.018085
0.000000 -0.196357 0.017999
0.000000 -0.195080 0.018340
0.000000 -0.194366 0.017862
0.000000 -0.193102 0.018230
0.000000 -0.191939 0.018472
0.000000 -0.191225 0.018022
0.000000 -0.190160 0.018147
0.000000 -0.189272 0.017998
0.000000 -0.188554 0.017571
0.000000 -0.187750 0.017295
0.000000 -0.186944 0.017026
0.000000 -0.186218 0.016620
0.000000 -0.185251 0.016659
0.000000 -0.184287 0.016709
0.000000 -0.183558 0.016325
0.000000 -0.182524 0.016542
0.000000 -0.181496 0.016771
0.000000 -0.180769 0.016412
0.000000 -0.179779 0.016601
0.000000 -0.178881 0.016620
0.000000 -0.178152 0.016284
0.000000 -0.177420 0.015954
0.000000 -0.176685 0.015630
0.000000 -0.175947 0.015314
0.000000 -0.175207 0.015003
---
timestamp: 1765249484752
0.000000 -0.250433 0.024102
0.000000 -0.249357 0.023427
0.000000 -0.248006 0.022960
0.000000 -0.246992 0.022265
0.000000 -0.245627 0.021840
0.000000 -0.244355 0.021363
0.000000 -0.243023 0.020948
0.000000 -0.241752 0.020503
0.000000 -0.240609 0.019972
0.000000 -0.238870 0.019936
0.000000 -0.237610 0.019536
0.000000 -0.235947 0.019491
0.000000 -0.234616 0.019190
0.000000 -0.232937 0.019211
0.000000 -0.231266 0.019255
0.000000 -0.230168 0.018812
0.000000 -0.228473 0.018929
0.000000 -0.227177 0.018706
0.000000 -0.225304 0.019049
0.000000 -0.223803 0.019072
0.000000 -0.222452 0.018975
0.000000 -0.221082 0.018918
0.000000 -0.219763 0.018832
0.000000 -0.217802 0.019434
0.000000 -0.216637 0.019242
0.000000 -0.215293 0.019259
0.000000 -0.214585 0.018605
0.000000 -0.213270 0.018626
0.000000 -0.211563 0.019113
0.000000 -0.210329 0.019095
0.000000 -0.209166 0.019017
0.000000 -0.207878 0.019106
0.000000 -0.206279 0.019597
