---
timestamp: 1765336938165
-0.000000 -0.154288 0.116729
-0.000000 -0.154433 0.116604
-0.000000 -0.154246 0.116103
-0.000000 -0.154275 0.115854
-0.000000 -0.154356 0.115667
-0.000000 -0.154458 0.115505
-0.000000 -0.154455 0.115233
-0.000000 -0.154488 0.115004
-0.000000 -0.154544 0.114800
-0.000000 -0.154495 0.114496
0.000000 -0.154582 0.114330
0.000000 -0.154626 0.114125
0.000000 -0.154588 0.113844
0.000000 -0.154546 0.113564
0.000000 -0.154500 0.113287
0.000000 -0.154532 0.113085
0.000000 -0.154563 0.112884
0.000000 -0.154591 0.112684
0.000000 -0.154638 0.112502
0.000000 -0.154664 0.112305
0.000000 -0.154661 0.112086
0.000000 -0.154766 0.111957
0.000000 -0.154869 0.111828
0.000000 -0.154972 0.111698
0.000000 -0.155074 0.111567
0.000000 -0.155174 0.111435
0.000000 -0.154940 0.108112
0.000000 -0.155010 0.107981
0.000000 -0.155079 0.107850
0.000000 -0.155147 0.107718
0.000000 -0.155214 0.107586
0.000000 -0.155279 0.107453
0.000000 -0.155344 0.107319
0.000000 -0.155407 0.107185
0.000000 -0.155469 0.107050
0.000000 -0.155530 0.106915
0.000000 -0.155590 0.106779
0.000000 -0.155648 0.106643
0.000000 -0.155706 0.106506
0.000000 -0.155762 0.106369
0.000000 -0.155701 0.106185
0.000000 -0.155637 0.106003
0.000000 -0.155656 0.105854
0.000000 -0.155572 0.105668
0.000000 -0.155486 0.105484
0.000000 -0.155483 0.105331
0.000000 -0.155410 0.105156
0.000000 -0.155336 0.104983
0.000000 -0.155259 0.104812
0.000000 -0.155301 0.104678
0.000000 -0.155341 0.104544
0.000000 -0.155380 0.104410
0.000000 -0.155418 0.104276
0.000000 -0.155455 0.104141
0.000000 -0.155490 0.104006
0.000000 -0.155525 0.103871
0.000000 -0.155558 0.103735
0.000000 -0.155590 0.103599
0.000000 -0.155621 0.103463
0.000000 -0.155650 0.103327
0.000000 -0.155679 0.103190
0.000000 -0.155706 0.103053
0.000000 -0.155732 0.102916
0.000000 -0.155757 0.102779
0.000000 -0.155781 0.102641
0.000000 -0.155803 0.102503
0.000000 -0.155824 0.102365
0.000000 -0.155844 0.102227
0.000000 -0.155863 0.102089
0.000000 -0.155881 0.101950
0.000000 -0.155897 0.101812
0.000000 -0.155912 0.101673
0.000000 -0.155926 0.101534
0.000000 -0.155939 0.101395
0.000000 -0.155951 0.101256
0.000000 -0.155961 0.101116
0.000000 -0.155970 0.100977
0.000000 -0.155978 0.100838
0.000000 -0.155985 0.100698
0.000000 -0.155990 0.100559
0.000000 -0.155995 0.100419
0.000000 -0.155998 0.100280
0.000000 -0.155999 0.100140
0.000000 -0.156000 0.100000
0.000000 -0.155999 0.099860
0.000000 -0.155998 0.099721
0.000000 -0.155995 0.099581
0.000000 -0.155990 0.099442
0.000000 -0.155985 0.099302
0.000000 -0.155978 0.099163
0.000000 -0.155970 0.099023
0.000000 -0.155961 0.098884
0.000000 -0.155951 0.098745
0.000000 -0.155939 0.098606
0.000000 -0.155926 0.098466
0.000000 -0.155912 0.098328
0.000000 -0.155897 0.098189
0.000000 -0.155881 0.098050
0.000000 -0.155863 0.097912
0.000000 -0.155844 0.097773
0.000000 -0.155824 0.097635
0.000000 -0.155803 0.097497
0.000000 -0.155781 0.097359
0.000000 -0.155757 0.097222
0.000000 -0.155732 0.097084
0.000000 -0.155706 0.096947
0.000000 -0.155679 0.096810
0.000000 -0.155650 0.096673
0.000000 -0.155621 0.096537
0.000000 -0.155590 0.096401
0.000000 -0.155558 0.096265
0.000000 -0.155525 0.096129
0.000000 -0.155490 0.095994
0.000000 -0.155455 0.095859
0.000000 -0.155418 0.095724
0.000000 -0.155380 0.095590
0.000000 -0.155341 0.095456
0.000000 -0.155301 0.095322
0.000000 -0.155379 0.095151
0.000000 -0.155455 0.094978
0.000000 -0.155529 0.094804
0.000000 -0.155534 0.094651
0.000000 -0.155621 0.094468
0.000000 -0.155622 0.094314
0.000000 -0.155689 0.094134
0.000000 -0.155754 0.093953
0.000000 -0.155817 0.093769
0.000000 -0.155762 0.093632
0.000000 -0.155706 0.093494
0.000000 -0.155649 0.093358
0.000000 -0.155590 0.093221
0.000000 -0.155530 0.093085
0.000000 -0.155469 0.092950
0.000000 -0.155407 0.092815
0.000000 -0.155457 0.092627
0.000000 -0.155504 0.092438
0.000000 -0.155549 0.092247
0.000000 -0.155593 0.092055
0.000000 -0.155572 0.091894
0.000000 -0.155599 0.091706
0.000000 -0.155623 0.091517
0.000000 -0.155646 0.091327
0.000000 -0.155666 0.091136
0.000000 -0.155588 0.091000
0.000000 -0.155605 0.090808
0.000000 -0.155619 0.090615
0.000000 -0.155632 0.090421
0.000000 -0.155642 0.090226
0.000000 -0.155650 0.090030
0.000000 -0.155655 0.089833
0.000000 -0.155659 0.089636
0.000000 -0.155660 0.089437
0.000000 -0.155750 0.089175
0.000000 -0.155746 0.088975
0.000000 -0.155740 0.088773
0.000000 -0.155731 0.088571
0.000000 -0.155720 0.088368
0.000000 -0.155706 0.088164
0.000000 -0.155691 0.087960
0.000000 -0.155673 0.087755
0.000000 -0.155739 0.087481
0.000000 -0.155716 0.087274
0.000000 -0.155625 0.087119
0.000000 -0.155540 0.086961
0.000000 -0.155462 0.086795
0.000000 -0.155396 0.086616
0.000000 -0.155354 0.086416
0.000000 -0.155358 0.086171
0.000000 -0.155483 0.085813
0.000000 -0.155358 0.085678
0.000000 -0.202949 0.028849
0.000000 -0.202654 0.027925
0.000000 -0.202022 0.027381
0.000000 -0.201493 0.026715
0.000000 -0.200904 0.026117
0.000000 -0.200257 0.025588
0.000000 -0.199388 0.025339
0.000000 -0.198734 0.024824
0.000000 -0.197832 0.024631
0.000000 -0.196972 0.024396
0.000000 -0.196151 0.024116
0.000000 -0.195350 0.023818
0.000000 -0.194392 0.023744
0.000000 -0.193457 0.023655
0.000000 -0.192581 0.023494
0.000000 -0.191632 0.023452
0.000000 -0.190962 0.023004
0.000000 -0.190107 0.022842
0.000000 -0.189252 0.022689
0.000000 -0.188576 0.022262
0.000000 -0.187547 0.022410
0.000000 -0.186525 0.022569
0.000000 -0.185848 0.022166
0.000000 -0.185100 0.021884
0.000000 -0.184318 0.021668
0.000000 -0.183633 0.021284
0.000000 -0.182785 0.021199
0.000000 -0.181783 0.021418
0.000000 -0.181096 0.021056
0.000000 -0.180405 0.020700
---
timestamp: 1765336938204
-0.000000 -0.154288 0.116729
-0.000000 -0.154433 0.116604
-0.000000 -0.154246 0.116103
-0.000000 -0.154275 0.115854
-0.000000 -0.154356 0.115667
-0.000000 -0.154458 0.115505
-0.000000 -0.154455 0.115233
-0.000000 -0.154488 0.115004
-0.000000 -0.154544 0.114800
-0.000000 -0.154495 0.114496
0.000000 -0.154582 0.114330
0.000000 -0.154626 0.114125
0.000000 -0.154588 0.113844
0.000000 -0.154546 0.113564
0.000000 -0.154500 0.113287
0.000000 -0.154532 0.113085
0.000000 -0.154563 0.112884
0.000000 -0.154591 0.112684
0.000000 -0.154617 0.112484
0.000000 -0.154650 0.112294
0.000000 -0.154661 0.112086
0.000000 -0.154766 0.111957
0.000000 -0.154869 0.111828
0.000000 -0.154972 0.111698
0.000000 -0.155074 0.111567
0.000000 -0.155174 0.111435
0.000000 -0.155273 0.111302
0.000000 -0.153994 0.107757
0.000000 -0.154500 0.107873
0.000000 -0.154716 0.107825
0.000000 -0.154783 0.107696
0.000000 -0.154924 0.107605
0.000000 -0.155035 0.107496
0.000000 -0.155130 0.107379
0.000000 -0.155215 0.107257
0.000000 -0.155294 0.107132
